"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"SCRC","Data Lake Implementation of Smart Campus - IIITH","Shubham Mante, Dr. Aftab Hussain","","","","",""
"SCRC","Dashboard for the Living Lab","Ashrit Rout","","","","",""
"SCRC","Smart Room","Ganesh CGS","","","","",""
"SCRC","Non-Invasive Low cost Water Quality Monitoring System","Usha Goparaju, SVSLN Surya Suhas","","","","",""
"SCRC","IoT Enabled Smart Cities - Pollution, Health and Governance","Sachin Chaudhari, K.S. Rajan, Kavita Vemuri, Aftab Hussain, Shailaja Tetali","","","","",""
